"Duration (in seconds)","Finished","RecordedDate","ExternalReference","UserLanguage","Q5","Q6","Q1","Q7","Q8","Q9","Q27","Q10","Q24","Q23","Q24_1","Q19_1","Q19_2","Q19_3","Q19_4","Q19_5","Q19_6","Q19_7","Q19_8","Q21_1","Q21_2","Q21_3","Q21_4","Q21_5","Q21_6","Q21_7","Q21_8","Q22_1","Q22_2","Q22_3","Q22_4","Q29_1","Q29_2","Q29_3","Q29_4","Q31_1","Q31_2","Q31_3","Q31_4","Q31_5","Q31_6","Q32_1","Q32_2","Q32_3","Q32_4","Q32_5","Q32_6","source","RandomID","Q40 - Parent Topics","Q40 - Topics"
"209","True","2020-06-01 08:47:18",NA,"EN","West Benagal","Kolkata,","4","40-49","Male","0","No","N/A","No","0","0","0","1","1","0","1","0","0","0","0","1","1","1","1","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0","0",NA,"8062",NA,NA
"178","True","2020-06-01 08:47:20",NA,"EN","Tamil Nadu","MADURAI","1","20-29","Male","1","Yes","SOFTWARE ENGNEERE","Yes","1-5","1-5","2","3","1","4","6","3","4","2","2","3","2","4","1","1","0","3","1","2","1","2","1","2","1","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8892",NA,NA
"116","True","2020-06-01 08:47:23",NA,"EN","Tamil Nadu","Chennai","3","20-29","Male","0","Yes","Engineer","No","0","1-5","2","4","3","4","3","3","3","4","3","3","4","3","2","1","3","3","2","2","3","2","3","3","2","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6317",NA,NA
"161","True","2020-06-01 08:47:23",NA,"EN","Kerala","KERALA","4","20-29","Female","1","Yes","BPO","No","1-5","0","2","5","5","2","2","3","2","3","3","6","4","3","3","3","2","3",NA,NA,NA,NA,NA,NA,NA,NA,"4","3","4","4","3","3","4","2","3","2","3","3",NA,"2853",NA,NA
"89","True","2020-06-01 08:47:23",NA,"EN","Tamil Nadu","Tup/tn","3","20-29","Male","1","Yes","freelancer","No","1-5","1-5","4","5","5","4","3","4","5","5","5","4","5","3","4","5","4","5",NA,NA,NA,NA,NA,NA,NA,NA,"2","3","5+","3","2","2","2","3","3","3","4","3",NA,"1735",NA,NA
"111","True","2020-06-01 08:47:33",NA,"EN","Tamil Nadu","MADURAI","5+","20-29","Male","2","Yes","ENGINERRING","No","1-5","0","0","1","0","1","2","1","2","0","2","1","0","1","3","2","0","2",NA,NA,NA,NA,NA,NA,NA,NA,"2","1","0","1","2","1","2","1","0","1","2","1",NA,"6929",NA,NA
"165","True","2020-06-01 08:47:34",NA,"EN","Tamil Nadu","CH","4","20-29","Male","1","Yes","DATA ANNALIST","Yes","1-5","6-10","1","0","0","0","1","0","0","0","1","2","1","1","1","1","1","2","2","0","0","0","2","2","3","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8477",NA,NA
"181","True","2020-06-01 08:47:36",NA,"EN","Tamil Nadu","coimbatore","1","40-49","Male","0","Yes","Financial Consultant","No","1-5","1-5","0","2","0","1","1","0","0","0","5","4","2","2","4","1","2","0",NA,NA,NA,NA,NA,NA,NA,NA,"3","5+","5+","0","5+","4","5+","5+","5+","1","5+","5+",NA,"5319",NA,NA
"265","True","2020-06-01 08:47:42",NA,"EN","Tamil Nadu","ERODE","5+","20-29","Female","1","Yes","FACULTY IN A INSTITUTE","Yes","0","0","0","1","1","0","1","0","0","0","1","1","1","1","1","2","1","0","1","1","0","1","1","1","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5909",NA,NA
"69","True","2020-06-01 08:47:42",NA,"EN","Kerala","kolikode","4","20-29","Male","2","Yes","finance","Yes","1-5","1-5","3","5","4","4","3","3","3","3","5","4","4","5","4","4","4","4",NA,NA,NA,NA,NA,NA,NA,NA,"2","2","2","2","1","2","1","2","2","2","1","2",NA,"5615",NA,NA
"190","True","2020-06-01 08:47:46",NA,"EN","Tamil Nadu","madurai","4","20-29","Male","2","Yes","information technology","Yes","1-5","1-5","4","5","6","2","4","5","6","3","4","7+","5","2","3","4","5","6","3","4","5+","3","2","4","5+","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8512",NA,NA
"196","True","2020-06-01 08:47:46",NA,"EN","Tamil Nadu","MADURAI","3","20-29","Male","3","Yes","SOFTWARE WORKER","No","1-5","1-5","3","5","6","4","5","4","3","3","6","5","5","6","5","6","5","6","4","3","4","3","4","5+","4","5+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9882",NA,NA
"157","True","2020-06-01 08:47:47",NA,"EN","Tamil Nadu","Chennai","2","30-39","Female","0","Yes","Engineer","No","1-5","1-5","0","3","3","0","3","4","0","0","2","1","2","1","1","1","0","1",NA,NA,NA,NA,NA,NA,NA,NA,"1","1","2","0","0","0","1","0","1","0","0","0",NA,"6670",NA,NA
"268","True","2020-06-01 08:47:50",NA,"EN","Karnataka","MYSORE","3","20-29","Male","0","Yes","EDUCATION","No","0","0","6","5","6","4","5","4","4","5","4","5","4","5","4","5","6","6",NA,NA,NA,NA,NA,NA,NA,NA,"2","1","2","2","1","2","1","1","2","1","2","1",NA,"7075",NA,NA
"58","True","2020-06-01 08:47:53",NA,"EN","Tamil Nadu","tup/tn","2","20-29","Male","1","No",NA,"No","1-5","1-5","4","5","5","4","4","5","5","3","3","4","5","3","4","5","4","4",NA,NA,NA,NA,NA,NA,NA,NA,"2","3","3","4","3","3","2","3","4","2","3","4",NA,"9581",NA,NA
"207","True","2020-06-01 08:47:54",NA,"EN","Kerala","calicut","3","40-49","Male","0","Yes","manager","No","1-5","0","0","1","1","0","1","0","0","0","0","1","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","1","0","0","0","0","0","0","0","0",NA,"1392",NA,NA
"81","True","2020-06-01 08:47:55",NA,"EN","Tamil Nadu","ERODE","5+","30-39","Male","2","Yes","SERVICE","No","1-5","6-10","4","3","3","2",NA,"4","3","4","2","3","2","1","2","2","3","2",NA,NA,NA,NA,NA,NA,NA,NA,"1","1","2","1","2","1","1","1","2","1","2","1",NA,"2865",NA,NA
"275","True","2020-06-01 08:47:55",NA,"EN","Maharashtra","Mumbai","1","30-39","Male","0","Yes","Analyst","No","1-5","0","0","2","0","0","2","0","0","3","0","1","0","0","2","0","0","2","2","0","2","2","0","0","0","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4237",NA,NA
"77","True","2020-06-01 08:47:56",NA,"EN","Tamil Nadu","tirupur","2","30-39","Female","1","Yes",NA,"Yes","6-10","11-15","4","5","3","7+","6","3","6","4","3","4","6","4","3","5","7+","4",NA,NA,NA,NA,NA,NA,NA,NA,"2","4","3","2","3","4","4","4","3","2","4","5+",NA,"1995",NA,NA
"145","True","2020-06-01 08:47:58",NA,"EN","Tamil Nadu","Madurai","5+","30-39","Male","1","Yes","Game Developer","No","0","0","0","1","1","0","0","0","1","1","3","2","3","4","2","2","2","1",NA,NA,NA,NA,NA,NA,NA,NA,"2","1","2","0","1","2","3","1","3","0","0","3",NA,"8572",NA,NA
"181","True","2020-06-01 08:48:00",NA,"EN","Andra Pradhesh","Guntur","5+","20-29","Male","1","Yes","IT Admin","No","1-5","0","1","2","3","3","2","3","3","4","1","2","3","2","3","2","3","4",NA,NA,NA,NA,NA,NA,NA,NA,"3","4","3","4","3","3","2","2","3","2","3","4",NA,"1210",NA,NA
"113","True","2020-06-01 08:48:01",NA,"EN","Gujurat","region","2","20-29","Female","2","Yes","it","Yes","16+","16+","6","5","4","5","6","6","5","4","7+","6","5","4","5","6","6","5",NA,NA,NA,NA,NA,NA,NA,NA,"2","3","4",NA,"5+","4","3","4","4","4","4","3",NA,"7450",NA,NA
"264","True","2020-06-01 08:48:01",NA,"EN","Tamil Nadu","MADURAI","4","20-29","Male","1","Yes","COMPUTER OPERATOR","No","1-5","0","2","2","1","1","2","0","0","0","2","4","2","2","3","1","3","1","1","1","0","1","2","1","2","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6490",NA,NA
"232","True","2020-06-01 08:48:06",NA,"EN","Tamil Nadu","madurai","3","20-29","Male","1","Yes","software","Yes","1-5","0","3","2","4","0","1","0","4","3","0","1","0","2","1","0","1","1","3","2","4","3","3","4","4","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1660",NA,NA
"239","True","2020-06-01 08:48:07",NA,"EN","Tamil Nadu","ERODE","4","20-29","Male","1","Yes","MANUFACTURING","Yes","6-10","11-15","6","5","6","5","4","5","6","5","6","5","6","7+","6","5","6","7+","4","3","4","5+","4","3","4","5+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2565",NA,NA
"105","True","2020-06-01 08:48:07",NA,"EN","Gujurat","Vadodara","4","30-39","Male","2","Yes","Self Employed","No","1-5","0","0","2","1","1","2","0","0","2","0","3","0","0","2","0","0","2",NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","1","0","1","0","0","0","0","0","1",NA,"8554",NA,NA
"227","True","2020-06-01 08:48:07",NA,"EN","Tamil Nadu","CHENNAI","5+","20-29","Male","2","Yes","DATA ANALYSIS","No","1-5","1-5","3","2","5","3","4","3","3","6","2","3","4","2","1","1","3","1","1","2","1","2","0","1","0","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2359",NA,NA
"212","True","2020-06-01 08:48:12",NA,"EN","Tamil Nadu","Chennai","1","20-29","Female","1","Yes","Manager","Yes","1-5","6-10","5","4","6","5","5","4","4","4","5","5","5","4","4","5","5","6","4","4","3","3","3","3","4","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5359",NA,NA
"66","True","2020-06-01 08:48:12",NA,"EN","Tamil Nadu","coimbatore","2","30-39","Male","0","Yes","service","Yes","1-5","1-5","5","7+","6","3","4","4","5","6","5","6","4","6","7+","6","5","6",NA,NA,NA,NA,NA,NA,NA,NA,"4","3","4","2","2","3","3","3","1","2","3","4",NA,"5464",NA,NA
"234","True","2020-06-01 08:48:16",NA,"EN","Tamil Nadu","Dindigul","3","20-29","Female","1","Yes","software engineer","No","1-5","6-10","2","3","2","3","2","4","1","2","4","3","3","4","3","4","4","5","2","3","2","2","3","4","5+","5+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6412",NA,NA
"231","True","2020-06-01 08:48:21",NA,"EN","Kerala","Kozhikode","5+","50-59","Male","1","Yes","Accountant","No","1-5","0","3","3","2","2","3","4","2","1","4","5","4","4","5","5","5","4","2","2","2","2","4","4","3","5+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8408",NA,NA
"92","True","2020-06-01 08:48:23",NA,"EN","Tamil Nadu","MADURAI","4","40-49","Male","1","Yes",NA,"Yes","1-5","1-5","0","1","0","0","0","0","0","0","0","3","0","0","0","0","0","0","1","0","0","0","2","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9254",NA,NA
"228","True","2020-06-01 08:48:23",NA,"EN","Tamil Nadu","MADURAI","3","20-29","Male","3","Yes","Software worker","No","1-5","1-5","3","5","6","4","5","3","2","2","6","5","6","5","4","5","6","4",NA,NA,NA,NA,NA,NA,NA,NA,"4","3","4","3","4","3","4","5+","3","4","3","5+",NA,"8935",NA,NA
"93","True","2020-06-01 08:48:23",NA,"EN","Tamil Nadu","madurai","1","20-29","Male","1","Yes","finace","Yes","1-5","0","2","4","6","7+","5","4","1","4","1","6","3","5","3","2","5","3","1","2","3","4","3","2","4","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9674",NA,NA
"191","True","2020-06-01 08:48:29",NA,"EN","Kerala","Malappuram","2","20-29",NA,"0","Yes","Software developer","No","1-5","6-10","1","0","0","1","0","0","1","0","2","0","1","0","0","0","1","0","1","0","0","0","1","0","1","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8729",NA,NA
"70","True","2020-06-01 08:48:31",NA,"EN","Kerala","ernakulam","3","30-39","Male","0","Yes","sales","No","0","0","0","1","1","0","1","1","1","0","0","1","1","0","1","0","0","1",NA,NA,NA,NA,NA,NA,NA,NA,"0","0","1","1","0","0","0","0","0","1","0","1",NA,"7650",NA,NA
"68","True","2020-06-01 08:48:33",NA,"EN","Tamil Nadu","Coimbatore","0","30-39","Male","1","Yes","Full time","No","0","1-5","5","5","6","7+","5","5","6","6","6","5","6","6","6","6","5","6",NA,NA,NA,NA,NA,NA,NA,NA,"4","5+","5+","4","4","4","4","4","5+","5+","4","5+",NA,"4500",NA,NA
"96","True","2020-06-01 08:48:44",NA,"EN","Kerala","Pathanamthitta","0","20-29","Male","0","Yes","Construction","No","0","1-5","0","1","0","1","0","1","0","1","0","1","0","1",NA,"0","1","1","0","1","0","1","0","1","0","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1730",NA,NA
"282","True","2020-06-01 08:48:45",NA,"EN","Karnataka","Belgaum","1","30-39","Male","2","Yes","Engineer","No","0","0","0","2","0","0","2","0","0","0","0","2","0","0","1","0","0","0","1","1","1","1","1","1","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9799",NA,NA
"259","True","2020-06-01 08:48:45",NA,"EN","Tamil Nadu","MADURAI","4","20-29","Male","1","Yes","SOFTWARE ENGINEER","No","1-5","0","3","5","4","4","3","1","4","2","3","5","3","2","2","1","3","4","4","3","2","2","3","3","2","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4850",NA,NA
"75","True","2020-06-01 08:48:47",NA,"EN","Tamil Nadu","MADURI","4","20-29","Female","2","Yes","BPO","No","0","0","5","4","3","3","3","2","4","4","4","3","3","3","2","2","3","2","3","2","3","2","3","3","3","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1057",NA,NA
"251","True","2020-06-01 08:48:47",NA,"EN","Tamil Nadu","MADURAI","3","20-29","Male","0","Yes","MANAGER","No","1-5","0","5",NA,"6","6","5","6","5","4","6","5","5","4","5","6","4","5","4","3","2","4","3","3","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9222",NA,NA
"77","True","2020-06-01 08:48:48",NA,"EN","Tamil Nadu","madurai","5+","30-39","Male","2","Yes","manager","Yes","1-5","6-10","6","7+","7+","6","6","7+","7+","6","7+","6","7+","7+","6","6","6","7+",NA,NA,NA,NA,NA,NA,NA,NA,"4","4","5+","5+","4","5+","4","5+","4","4","5+","5+",NA,"8418",NA,NA
"302","True","2020-06-01 08:48:59",NA,"EN","Tamil Nadu","Thoothukudi","5+","30-39","Male","2","Yes","teacher","No","1-5","0","0","2","1","0","0","0","0","0","1","3","1","0","1","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,"1","0","0","0","0","0","1","1","0","0","0","1",NA,"3414",NA,NA
"107","True","2020-06-01 08:48:59",NA,"EN","Tamil Nadu","Erode","2","20-29","Female","1","Yes","Associate Engineer","Yes","1-5","0","1","1","3","0","1","1","1","1","1","2","2","2","1","1","2","1","1","2","2","2","3","2",NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4583",NA,NA
"96","True","2020-06-01 08:49:05",NA,"EN","Tamil Nadu","MADURAI","1","20-29","Male","1","Yes","SOFTWARE ENGNEERE","Yes","1-5","6-10","2","3","2","4","3","2","4","5","2","3","2","1","4","3","2","1","1","2","2","1","1","2","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3572",NA,NA
"191","True","2020-06-01 08:49:05",NA,"EN","Tamil Nadu","Chennai","3","30-39","Male","2","Yes","Teacher","No","1-5","1-5","0","1","1","1","2","3","0","1","1","0","1","1","1","3","0","1","3","2","2","2","2","2","2","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1735",NA,NA
"344","True","2020-06-01 08:49:09",NA,"EN","Tamil Nadu","MADURAI","4","20-29","Male","0","Yes","FULL TIME EMPLOYMET","Yes","1-5","6-10","2","3","1","1","5","1","2","3","1","1","1","0","3","1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1","0","1","1","1","0","0","0","0","0",NA,"2571",NA,NA
"345","True","2020-06-01 08:49:13",NA,"EN","Tamil Nadu","madurai","3","20-29","Male","0","Yes","system operator","Yes","1-5","0","0","3","1","0","2","0","0","0","2","4","4","1","5","1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1","0","2","2","3","4","3","2","2","3",NA,"9993",NA,NA
"227","True","2020-06-01 08:49:14",NA,"EN","Tamil Nadu","madurai","5+","20-29","Male","3","Yes","system operator","Yes","1-5","0","0","1","1","0","2","1","0","0","0","2","2","1","0","1","0","0",NA,NA,NA,NA,NA,NA,NA,NA,"0","1","1","1","1","0","0","1","1","0","1","0",NA,"5347",NA,NA
"106","True","2020-06-01 08:49:14",NA,"EN","Tamil Nadu","hindu",NA,"20-29","Male","0","Yes","PART TIME JOB","Yes","0","0","0","1","2","3","4","5","6","7+","0","1","2","3","4","5","6","7+","0","1","2","3","0","1","2","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9933",NA,NA
"297","True","2020-06-01 08:49:18",NA,"EN","Telengana","Hyderabad","1","30-39","Male","0","Yes","Private company employee","Yes","1-5","0","2","2","3","1","2","2","3","2","1","1","2","1","1","0","0","1","3","2","2","4","2","1","1","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8948",NA,NA
"136","True","2020-06-01 08:49:19",NA,"EN","Tamil Nadu","karur","2","30-39","Female","2","Yes","software analysis","Yes","1-5","6-10","6","5","4","3","5","4","3","4","5","4","3","6","4","5","4","5","4","3","2","3","2","3","4","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3422",NA,NA
"381","True","2020-06-01 08:49:20",NA,"EN","Tamil Nadu","Madurai","5+","20-29","Male","1","Yes","Assistant engineer","No","1-5","0","1","1","0","0","1","0","0","0","1","1","0","0","2","0","0","0","2","0","0","0","1","2","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4493",NA,NA
"78","True","2020-06-01 08:49:37",NA,"EN","Tamil Nadu","Chennai","1","20-29","Female","1","Yes","Manager","Yes","6-10","6-10","5","6","5","5","4","4","4","6","4","5","5","6","6","6","3","3","3","4","2","3","2","3","4","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1175",NA,NA
"104","True","2020-06-01 08:49:42",NA,"EN","Tamil Nadu","madurai","2","20-29","Male","2","Yes","computer operator","Yes","1-5","1-5","6","5","6","4","5","4","2","3","5","4","4","6","4","7+","4","1","3","4","3","4","4","3","4","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6840",NA,NA
"131","True","2020-06-01 08:49:42",NA,"EN","West Benagal","Kolkata","4","40-49","Male","0","No","N/A","No","0","0","0","1","1","1","1","0","0","0","0","1","1","1","1","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0","0",NA,"1532",NA,NA
"140","True","2020-06-01 08:49:42",NA,"EN","Tamil Nadu","Coimbatore","3","20-29","Male","0","Yes","Design engineer","Yes","1-5","0","1","2","1","1","1","2","2","2","2","2","1","1","2","2","1","1","3","3","4","3","2","3","2","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9352",NA,NA
"106","True","2020-06-01 08:49:43",NA,"EN","Tamil Nadu","madurai","4",NA,"Male","3","Yes","information technology","Yes","1-5","1-5","4","5","6","7+","4","5","2","4","4","6","5","3","5","7+","5","4",NA,NA,NA,NA,NA,NA,NA,NA,"3","4","2","3","4","5+","2","3","4","5+","2","3",NA,"3242",NA,NA
"126","True","2020-06-01 08:49:45",NA,"EN","Tamil Nadu","MADURAI","1","20-29","Male","2","Yes","5","Yes","1-5","1-5","3","5","3","5","4","5","4","6","3","6","5","4","6","5","6","5",NA,NA,NA,NA,NA,NA,NA,NA,"3","4","3","5+","3","2","3","2","5+","4","3","4",NA,"7223",NA,NA
"393","True","2020-06-01 08:49:53",NA,"EN","Tamil Nadu","karur/vangal/karur","5+","20-29","Male","2","Yes","Maufacturing supervisor","Yes","1-5","0","0","4","4","2","4","0","2","1","1","4","4","3","4","0","3","1",NA,NA,NA,NA,NA,NA,NA,NA,"2","1","1","2","1","2","2","2","1","2","2","1",NA,"8514",NA,NA
"307","True","2020-06-01 08:49:54",NA,"EN","Haryana","Panchkula","2","40-49","Male","0","Yes","Associate Project Manager","No","0","0","0","5","3","1","1","1","1","3","1","5","4","1","3","1","1","3",NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1","0","0","1","2","1","1","0","0","0",NA,"5082",NA,NA
"256","True","2020-06-01 08:49:56",NA,"EN","Kerala","Kannur","5+","40-49","Male","1","Yes","Accountant","No","0","1-5","1","1","1","1","2","0","0","0","1","2","2","2","3","1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,"1","0","1","0","0","1","2","1","1","0","1","2",NA,"4627",NA,NA
"205","True","2020-06-01 08:50:00",NA,"EN","Haryana","Panchkula","3","20-29","Male","0","Yes","Accountant","No","1-5","0","7+","3","4","2","2","5","3","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","1","1","1","0","0","2","1","1","2","0","0",NA,"7873",NA,NA
"204","True","2020-06-01 08:50:02",NA,"EN","Karnataka","Bangalore","4","30-39","Male","1","Yes","Software Engineer","Yes","1-5","0","1","1","1","1","2","0","1","1","1","3","4","4","6","1","2","1","4","2","1","1","2","1","2","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6022",NA,NA
"120","True","2020-06-01 08:50:07",NA,"EN","Andra Pradhesh","Guntur","5+","20-29","Male",NA,"Yes","IT admin",NA,"1-5","6-10","3","2","3","2","3","2","3","3","4","3","4","4","4","3","4","4",NA,NA,NA,NA,NA,NA,NA,NA,"2","1","2","1","2","1","3","2","3","2","3","3",NA,"8846",NA,NA
"123","True","2020-06-01 08:50:10",NA,"EN","Kerala","Kottakkal",NA,"30-39","Male","1","Yes","Teacher","No","1-5","1-5","1","2","1","1","1","2","1","1","2","1","3","2","1","2","2","3",NA,NA,NA,NA,NA,NA,NA,NA,"3","1","2","3","2","1","0","1","1","1","2","2",NA,"6515",NA,NA
"171","True","2020-06-01 08:50:11",NA,"EN","Tamil Nadu","trichy","4","30-39","Male","0","Yes","worker","Yes","1-5","1-5","5","4","3","4","5","6","4","5","5","4","3","6","6","2","3","5",NA,NA,NA,NA,NA,NA,NA,NA,"3","2","4","4","3","2","3","4","4","3","2","1",NA,"7037",NA,NA
